Filename,trial.1,trial.2,trial.3,trial.4,trial.5,trial.6,trial.7,trial.8,trial.9,trial.10,trial.11,trial.12,trial.13,trial.14,trial.15,trial.16,trial.17,trial.18,trial.19,trial.20,trial.21,trial.22,trial.23,trial.24,trial.25,trial.26,trial.27,trial.28,trial.29,trial.30,trial.31,trial.32,trial.33,trial.34,trial.35,trial.36,trial.37,trial.38,trial.39,trial.40,trial.41,trial.42,trial.43,trial.44,trial.45,trial.46,trial.47,trial.48,trial.49,trial.50,trial.51,trial.52,trial.53,trial.54,trial.55,trial.56,trial.57,trial.58,trial.59,trial.60,Comment,markers,nDropoutSpiking,nExtremePoints,N_Sent,LI_Sent,se_Sent,latency_Sent,lowCI_Sent,hiCI_Sent,lat_Sent,odd_Sent,even_Sent,N_List,LI_List,se_List,latency_List,lowCI_List,hiCI_List,lat_List,odd_List,even_List,N_Word,LI_Word,se_Word,latency_Word,lowCI_Word,hiCI_Word,lat_Word,odd_Word,even_Word,newSG,N.SG,newLG,N.LG,newWG,N.WG,Npts,LI_interactW,se_interactW,LI_interactS,se_interactS,R2,AIC,BIC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,5,0,20,9.88,1.29,9.48,7.35,12.4,1,10.53781997,9.213077874,19,3,1.43,11.24,0.197,5.8,1,4.60945351,1.216786473,20,4.75,1.13,9.72,2.54,6.96,1,3.324168138,6.170459886,9.045983922,20,2.208993004,20,3.993108326,20,2164,-1.496399616,0.665869979,-5.295515638,0.658886744,0.683362622,24875.06251,27967.15643
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,5,0,20,5.74,0.377,11.88,5,6.48,1,6.115677527,5.354740576,19,-0.478,0.619,7,0.735,-1.69,0,-0.351050497,-0.618705775,20,2.28,0.809,10.92,0.694,3.87,1,1.113716471,3.444614268,5.05361525,20,-0.274911172,20,1.646549459,20,2113,-1.697241249,0.605423676,-4.282842205,0.613055553,0.752828176,23506.49591,26297.32237
3,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,9,0,19,4.57,0.594,13.24,3.41,5.73,1,4.586305367,4.555728037,17,1.44,0.61,12.92,0.244,2.64,1,1.464888921,1.407531031,18,2.15,0.932,9.88,0.323,3.98,1,0.511830966,3.784510958,3.555034798,19,0.947195247,17,1.682280625,19,1614,-0.615786215,0.517625784,-2.283370398,0.521917247,0.712428985,14479.55895,16822.90864
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,5,5,18,5.45,0.588,16.36,4.3,6.6,1,5.323226783,5.576213848,20,1.99,0.945,16.92,0.138,3.84,1,2.401173405,1.587653824,20,4.13,0.872,16.2,2.42,5.84,1,3.928807921,4.331137099,3.736043102,20,0.014586967,20,2.656342616,20,2306,-2.032948957,0.542596122,-3.084546593,0.541767796,0.734264265,24932.00979,27868.86043
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,7,10,19,5.04,0.722,16.12,3.62,6.46,1,5.172355069,4.884514659,17,-3.75,1.02,11.96,-1.75,-5.75,-1,-2.991996406,-4.601056401,19,2.33,1.13,12.04,0.115,4.54,1,1.855919774,2.846252205,2.6562732,20,-2.990747881,18,1.475826923,19,2115,-3.190924043,0.614717548,-4.404935452,0.604304528,0.811138499,22129.25475,25044.67565
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,4,0,18,3.23,0.79,7.4,1.68,4.78,1,2.91356073,3.537072269,18,-1.59,1.16,15.24,0.684,-3.86,0,-3.758527718,0.586538127,18,1.22,0.698,7.08,-0.148,2.59,0,1.397165377,1.049585127,2.457182251,19,-1.272363633,20,0.349673512,20,2194,-2.099265253,0.935242578,-2.288304285,0.938480455,0.676589403,27094.43392,29887.42225
7,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,8,0,19,2.6,0.535,12.04,1.55,3.65,1,2.520991333,2.678037246,20,1.56,0.465,8.84,0.649,2.47,1,2.186437974,0.939138776,20,2.58,0.435,10.28,1.73,3.43,1,2.052285776,3.109181174,2.079196985,19,1.377448707,20,2.188549861,20,1688,-0.997100053,0.722723498,-1.213278719,0.734439721,0.739146646,18986.71953,21956.72722
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,7,0,19,5.58,0.823,15.8,3.97,7.19,1,5.658602142,5.501810458,19,1.76,0.991,15.8,-0.182,3.7,0,2.170980126,1.298357466,19,3.43,0.914,7.24,1.64,5.22,1,3.314544109,3.553631488,5.028857345,19,1.118097891,20,2.916472545,19,2531,-1.83377127,0.54389357,-3.374022672,0.546658068,0.591395283,26797.88835,29731.84444
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,20,10,19,6.94,1.19,15.48,4.61,9.27,1,7.134594061,6.720360958,19,-1.09,1.16,13,1.18,-3.36,0,-1.689197784,-0.431504615,18,1.54,1.34,14.92,-1.09,4.17,0,1.013344033,2.064750517,5.328348875,20,0.337564389,20,3.958881359,20,2081,-2.788752477,0.82966615,-3.802869443,0.825384198,0.459298798,25496.04212,27658.44072
10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,8,5,19,-2.23,0.826,17,-0.611,-3.85,-1,-2.863765289,-1.523821959,19,0.856,1.12,7.48,-1.34,3.05,0,1.141535792,0.538378022,19,1.78,0.923,7.48,-0.0291,3.59,0,1.250590338,2.363974746,-0.238022503,19,0.543890429,19,0.745922759,20,1623,0.179680554,0.81304214,0.326720422,0.825759009,0.475081414,18378.90021,20561.15582
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,19,0,19,3.96,0.819,15.64,2.35,5.57,1,3.466644524,4.51445493,18,-0.452,0.907,12.6,1.33,-2.23,0,-0.647958453,-0.255510841,20,4.13,0.937,16.6,2.29,5.97,1,3.494180932,4.756876937,3.497115103,20,0.283315989,20,3.601361045,20,2112,-2.779112602,0.595907328,-3.390556872,0.599697088,0.729265605,23248.33871,26062.33097
