"","X","Filename","LI","session","LI.mean","LI.se","LI.N","A_param1","A_param2","A_param3","A_param4","A_LI.est","A_LIest.se","A_p.interact","A_R2","A_AIC","A_BIC","B_param1","B_param2","B_param3","B_LI.est","B_LIest.se","B_p.interact","B_R2","B_AIC","B_BIC","C_param1","C_param2","C_param3","C_LI.est","C_LIest.se","C_p.interact","C_R2","C_AIC","C_BIC"
"1",1,"A2_001_D1",4.183821441,1,5.5777166392388,1.66790756458705,15,-104.790532228101,-3.40544544624273,-0.777561367388439,0.406176985970344,4.56335295850466,1.0467075293987,0,0.0829578553631095,6003.4,6046.4,100.259930315145,3.05979772481221,1.20789441196105,-4.70925430516812,0.887917116363234,0,0.299152500141839,5771.7,5878.4,100.622728806714,2.7587756616057,1.20789441200871,4.70925430503984,0.678471698167564,0,0.590793856874621,5372.6,5876.2
"2",2,"A2_002_D1",1.367963118,1,1.35275074633151,0.592946873612431,15,-105.96072366454,1.60377205786933,1.37877976675109,0.182168973487673,0.988558965750514,0.704641077528463,0.16,0.0742876204433938,6716.8,6761.7,100.302618637521,2.82911189581825,0.164878695581403,-1.09188741157147,0.625321686361297,0.08,0.237625511418497,6512.7,6624.9,99.9780162179812,3.20513151998253,0.164878695578955,-1.0918874115616,0.318793335797403,0,0.801856494359814,5152.1,5804.3
"3",3,"A2_003_D1",3.102999587,1,2.64498875670055,0.874552598421271,15,-107.52009102576,-6.30969075958841,1.21926211933984,-0.18920650609457,2.51359668344952,0.846718572551776,0,0.175541564623298,8973.2,9019.9,100.74162838689,2.60203799174599,1.14361727511568,-2.88927475620821,0.69068238209076,0,0.425710598801857,8499.6,8613.8,100.536203164236,1.99472508283065,1.14361727513924,2.88927475622698,0.414181046187768,0,0.793483628242615,7247.9,7940.7
"4",4,"A2_004_D1",0.370684361,1,0.900466606335764,0.883539646291641,15,-99.3620583012154,-4.76451272434932,-8.4174373523751,-0.326178145598842,0.895495809147875,0.728990081211891,0.22,0.262201982609799,5205,5247.9,100.483167165688,0.178926838258042,0.670349975479028,-1.06650500992041,0.668947360535468,0.11,0.349182486400429,5102.1,5204.1,99.2633447291442,1.59057989614166,0.67034997548558,-1.06650500995786,0.421409545676045,0.01,0.741723983046439,4395.6,4968.8
"5",5,"A2_005_D1",2.611740105,1,3.17697164247358,0.521772373637984,15,-106.402228447037,-6.78252558448662,0.739061187973409,1.33588814374198,2.23269765766924,0.928680296318272,0.02,0.166102662833852,9955.3,10002.6,103.013300706774,-0.324200493607855,-0.924315934674947,-1.23626930552165,0.864495220019852,0.15,0.247911308958147,9814.5,9930.2,102.94947808548,0.208873801006758,-0.924315934597307,1.23626930557902,0.414312957234194,0,0.827256825232567,7840.2,8598.5
"6",6,"A2_006_D1",1.633816486,1,1.66814492719266,0.459137333773349,15,-101.777485953997,-7.13184538452243,-4.03116232840799,-0.178243692658624,2.00518076823537,0.825735471368813,0.02,0.150252623829648,8661.3,8707.8,101.750061877324,0.766092812567989,0.622362022596179,-1.35805971940896,0.74533901885451,0.07,0.278641073885215,8454.7,8566.1,105.109583598986,3.07266823025011,0.622362022665162,-1.3580597193224,0.380089946414198,0,0.812407072753916,6821.7,7540.7
"7",7,"A2_007_D1",-0.81708594,1,-0.82863643027088,0.658692945400091,15,-101.82092659682,-1.08890303134838,-0.340220542378024,0.339781646088068,-0.494858298431341,0.575228041406685,0.39,0.0342575666598851,7057.2,7103,102.63433605373,-1.81840463762203,-0.528539208768779,0.585990345843966,0.519311099710295,0.26,0.17970623852709,6867.8,6981.4,103.097406335211,-1.32295262698318,-0.528539208765734,-0.585990345856414,0.290072787194185,0.04,0.744065888233875,5573.5,6239.4
"8",8,"A2_008_D1",3.397753465,1,3.44920913462791,0.657064908359112,15,-103.840523813675,-10.3664327327355,-4.76685196489232,-0.0967178420082687,2.69598087744583,0.896161013255296,0,0.290558709809273,6604.7,6648.9,101.124011954724,2.67313769500198,0.870797021013101,-2.32847174573213,0.740557317502088,0,0.493128341431884,6273.6,6385.3,100.619238043778,2.4306300210935,0.870797020976879,-2.32847174570821,0.417511724447228,0,0.838891666683179,5215.5,5820.7
"9",9,"A2_009_D1",5.846291152,1,5.92153455374055,0.808844868425873,15,-101.482546572887,-2.85946111633465,-3.60659718902823,0.0488211842255101,4.27502586758689,0.625674393790712,0,0.14755493736446,6465.2,6510.1,101.515242089592,1.01761647898411,1.29647161513431,-4.15092393410564,0.530834690127976,0,0.358080415045827,6163.3,6275,101.458841973087,1.44142000822963,1.29647161528992,4.15092393418063,0.374003672227093,0,0.681350114769876,5499.3,6131.7
"10",10,"A2_010_D1",-1.061625295,1,-0.989172239412675,0.295693615646123,15,-103.391295036658,1.98755101205459,-2.09633873516488,0.309354460493201,-1.18625883087992,0.676423898257362,0.08,0.143749677365044,8721.7,8768.8,102.947516658983,-0.557040144983202,-0.710530429126073,1.21921026497527,0.61180450527029,0.05,0.269298365468249,8506.5,8604.6,104.725011678647,-0.979644120435533,-0.710530429126033,1.21921026497519,0.419420632440843,0,0.656588907738903,7581.8,8307.1
